2025-02-04 16:46:21 install libcc1-0:amd64 <none> 12.2.0-14
2025-02-04 16:46:21 status half-installed libcc1-0:amd64 12.2.0-14
2025-02-04 16:46:21 status unpacked libcc1-0:amd64 12.2.0-14
2025-02-04 16:46:21 install libgomp1:amd64 <none> 12.2.0-14
2025-02-04 16:46:21 status half-installed libgomp1:amd64 12.2.0-14
2025-02-04 16:46:21 status unpacked libgomp1:amd64 12.2.0-14
2025-02-04 16:46:21 install libitm1:amd64 <none> 12.2.0-14
2025-02-04 16:46:21 status half-installed libitm1:amd64 12.2.0-14
2025-02-04 16:46:21 status unpacked libitm1:amd64 12.2.0-14
2025-02-04 16:46:21 install libatomic1:amd64 <none> 12.2.0-14
2025-02-04 16:46:21 status half-installed libatomic1:amd64 12.2.0-14
2025-02-04 16:46:21 status unpacked libatomic1:amd64 12.2.0-14
2025-02-04 16:46:21 install libasan8:amd64 <none> 12.2.0-14
2025-02-04 16:46:21 status half-installed libasan8:amd64 12.2.0-14
2025-02-04 16:46:21 status unpacked libasan8:amd64 12.2.0-14
2025-02-04 16:46:21 install liblsan0:amd64 <none> 12.2.0-14
2025-02-04 16:46:21 status half-installed liblsan0:amd64 12.2.0-14
2025-02-04 16:46:21 status unpacked liblsan0:amd64 12.2.0-14
2025-02-04 16:46:21 install libtsan2:amd64 <none> 12.2.0-14
2025-02-04 16:46:21 status half-installed libtsan2:amd64 12.2.0-14
2025-02-04 16:46:22 status unpacked libtsan2:amd64 12.2.0-14
2025-02-04 16:46:22 install libubsan1:amd64 <none> 12.2.0-14
2025-02-04 16:46:22 status half-installed libubsan1:amd64 12.2.0-14
2025-02-04 16:46:22 status unpacked libubsan1:amd64 12.2.0-14
2025-02-04 16:46:22 install libquadmath0:amd64 <none> 12.2.0-14
2025-02-04 16:46:22 status half-installed libquadmath0:amd64 12.2.0-14
2025-02-04 16:46:22 status unpacked libquadmath0:amd64 12.2.0-14
2025-02-04 16:46:22 install libgcc-12-dev:amd64 <none> 12.2.0-14
